Precio,VRAM,HDMI,DisplayPort,Energia,GDDR3,GDDR4,GDDR5,GDDR6,GDDR6X,GDDR7
169989,16,1,3,800,False,False,False,False,False,True
169900,16,1,3,550,False,False,False,False,False,True
99999,16,1,3,750,False,False,False,False,False,True
64900,12,2,2,650,False,False,False,True,False,False
45790,8,2,2,500,False,False,False,True,False,False
29290,12,1,3,550,False,False,False,True,False,False
27490,10,1,3,170,False,False,False,True,False,False
82491,16,1,3,850,False,False,False,True,False,False
76190,16,1,3,800,False,False,False,True,False,False
98690,24,1,3,800,False,False,False,True,False,False
101089,16,2,2,850,False,False,False,True,False,False
111999,16,2,2,850,False,False,False,True,False,False
119990,12,1,3,650,False,False,False,False,False,True
99990,12,1,3,650,False,False,False,False,False,True
75990,12,1,3,250,False,False,False,False,False,True
73990,12,1,3,250,False,False,False,False,False,True
83490,12,1,3,250,False,False,False,False,False,True
82491,12,1,3,250,False,False,False,False,False,True
319991,32,1,3,1000,False,False,False,False,False,True
69890,12,1,3,550,False,False,False,False,True,False
119899,16,1,3,750,False,False,False,False,False,True
123889,16,1,3,300,False,False,False,False,False,True
99999,16,1,3,750,False,False,False,False,False,True
99999,16,1,3,750,False,False,False,False,False,True
155490,16,1,3,360,False,False,False,False,False,True
359900,32,1,3,575,False,False,False,False,False,True
65495,12,1,3,550,False,False,False,False,False,True
65495,12,1,3,550,False,False,False,False,False,True
65495,12,1,3,550,False,False,False,False,False,True
65495,12,1,3,550,False,False,False,False,False,True
169900,16,1,0,550,False,False,False,False,False,True
169900,16,1,3,550,False,False,False,False,False,True
236995,32,1,3,550,False,False,False,False,False,True
65495,12,1,3,750,False,False,False,False,False,True
65495,12,1,3,750,False,False,False,False,False,True
65495,12,1,3,750,False,False,False,False,False,True
65495,12,1,3,750,False,False,False,False,False,True
65495,12,1,3,750,False,False,False,False,False,True
65495,12,1,3,750,False,False,False,False,False,True
88996,16,1,3,750,False,False,False,False,False,True
88996,16,1,3,750,False,False,False,False,False,True
88996,16,1,3,750,False,False,False,False,False,True
88996,16,1,3,750,False,False,False,False,False,True
164999,16,1,3,850,False,False,False,False,False,True
159990,16,2,3,850,False,False,False,False,False,True
174899,16,2,3,850,False,False,False,False,False,True
199899,16,1,3,800,False,False,False,False,False,True
118995,16,1,3,800,False,False,False,False,False,True
224990,32,1,3,550,False,False,False,False,False,True
229990,32,1,3,550,False,False,False,False,False,True
236995,32,1,3,550,False,False,False,False,False,True
61890,12,1,3,600,False,False,False,True,False,False
60490,12,1,3,650,False,False,False,True,False,False
74889,12,1,3,650,False,False,False,False,True,False
36190,8,2,2,500,False,False,False,True,False,False
125990,16,2,3,850,False,False,False,False,True,False
68790,12,1,3,550,False,False,False,False,True,False
75390,12,1,3,550,False,False,False,False,True,False
98590,16,1,3,750,False,False,False,False,True,False
51190,16,2,2,500,False,False,False,True,False,False
92890,16,1,3,750,False,False,False,False,True,False
79900,12,1,3,700,False,False,False,False,True,False
71890,12,1,3,750,False,False,False,False,True,False
96090,16,1,3,750,False,False,False,False,True,False
31090,8,1,3,115,False,False,False,True,False,False
49490,8,1,3,550,False,False,False,True,False,False
63190,12,1,3,650,False,False,False,False,True,False
56690,16,1,3,550,False,False,False,True,False,False
125990,16,2,2,500,False,False,False,True,False,False
53791,8,1,3,650,False,False,False,True,False,False
46990,8,2,2,500,False,False,False,True,False,False
48990,8,2,2,500,False,False,False,True,False,False
63290,12,1,3,650,False,False,False,False,True,False
26990,8,2,2,450,False,False,False,True,False,False
